transaction_id,customer_id,timestamp,amount,payment_method,gateway,merchant_category,status,failure_reason,failure_code,retry_count,previous_failed_payments,previous_successful_payments,customer_risk,recommended_action,recovery_priority,recovery_channel,recovery_status
TXN0000014,CUST00745,2026-06-10 05:27:00,98.17,UPI,Razorpay,Food,FAILED,Daily Limit Exceeded,LIMIT_EXCEEDED,0,3,13,MEDIUM,USE_ALTERNATIVE_PAYMENT_METHOD,HIGH,VOICE_ASSISTANT,ORDER_CREATED
TXN0000015,CUST07956,2026-07-04 03:54:00,118.52,Wallet,Razorpay,Utilities,SUCCESS,,,0,6,21,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000016,CUST02787,2026-02-10 15:29:00,379.07,UPI,Gateway_A,Travel,SUCCESS,,,0,4,25,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000017,CUST01464,2026-06-10 10:11:00,241.57,Wallet,Razorpay,Subscription,FAILED,Network Error,NETWORK_ERROR,1,2,25,LOW,RETRY_PAYMENT,MEDIUM,SMS,ORDER_CREATED
TXN0000018,CUST06379,2026-03-24 16:40:00,910.73,Wallet,Razorpay,Healthcare,SUCCESS,,,0,6,26,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000019,CUST02520,2026-08-13 19:21:00,268.27,Credit Card,Razorpay,Food,PENDING,,,0,5,16,HIGH,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000020,CUST06231,2026-06-18 16:13:00,162.02,Wallet,Razorpay,Food,PENDING,,,0,2,17,LOW,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000021,CUST07610,2026-02-21 10:38:00,2880.3,Wallet,Gateway_B,Utilities,SUCCESS,,,0,3,29,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000022,CUST04240,2026-02-27 02:11:00,530.71,Net Banking,Razorpay,Food,SUCCESS,,,0,4,8,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000023,CUST00059,2026-01-16 07:48:00,711.61,UPI,Gateway_B,Utilities,SUCCESS,,,0,6,11,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000024,CUST00581,2026-06-21 16:34:00,160.01,Wallet,Razorpay,Education,SUCCESS,,,0,5,30,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000025,CUST07229,2026-03-04 16:08:00,385.92,Wallet,Gateway_B,Travel,FAILED,Network Error,NETWORK_ERROR,0,0,22,LOW,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000026,CUST03368,2026-06-22 22:18:00,743.17,Net Banking,Gateway_B,Ecommerce,PENDING,,,0,0,13,LOW,MONITOR,LOW,EMAIL,PENDING
TXN0000027,CUST00896,2026-05-18 15:18:00,210.4,Credit Card,Razorpay,Food,SUCCESS,,,0,2,15,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000028,CUST02047,2026-08-09 18:47:00,968.45,UPI,Gateway_A,Subscription,SUCCESS,,,0,0,30,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000029,CUST06174,2026-05-05 16:25:00,364.8,Credit Card,Razorpay,Travel,SUCCESS,,,1,0,6,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000030,CUST03105,2026-08-26 15:31:00,496.86,UPI,Gateway_A,Education,SUCCESS,,,1,1,7,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000031,CUST02431,2026-07-08 18:30:00,364.42,Credit Card,Razorpay,Healthcare,SUCCESS,,,0,0,2,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000032,CUST04786,2026-05-16 05:22:00,4239.83,Net Banking,Gateway_B,Subscription,SUCCESS,,,0,6,6,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000033,CUST00562,2026-08-09 08:01:00,656.22,Wallet,Razorpay,Utilities,SUCCESS,,,0,4,20,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000034,CUST00326,2026-06-18 19:55:00,230.97,Wallet,Razorpay,Travel,SUCCESS,,,0,2,7,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000035,CUST05487,2026-04-12 04:28:00,1514.05,Debit Card,Razorpay,Education,SUCCESS,,,0,3,11,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000036,CUST07611,2026-06-09 19:13:00,196.2,UPI,Razorpay,Travel,PENDING,,,0,4,7,MEDIUM,MONITOR,LOW,EMAIL,RECOVERED
TXN0000037,CUST02860,2026-03-14 05:23:00,819.64,UPI,Razorpay,Education,SUCCESS,,,0,4,26,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000038,CUST05358,2026-07-29 18:55:00,93.72,Wallet,Razorpay,Utilities,SUCCESS,,,0,1,9,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000039,CUST00946,2026-02-09 09:17:00,176.23,UPI,Gateway_B,Healthcare,SUCCESS,,,0,5,11,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000040,CUST01668,2026-03-06 01:44:00,809.86,Debit Card,Gateway_B,Travel,SUCCESS,,,1,6,9,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000041,CUST00362,2026-02-03 21:44:00,1391.96,UPI,Gateway_A,Subscription,PENDING,,,0,5,15,HIGH,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000042,CUST03504,2026-01-20 23:35:00,789.48,Wallet,Razorpay,Ecommerce,FAILED,Insufficient Funds,INSUFFICIENT_FUNDS,2,4,18,MEDIUM,USE_ALTERNATIVE_PAYMENT_METHOD,HIGH,SMS,RECOVERED
TXN0000043,CUST00343,2026-08-09 01:21:00,592.5,Debit Card,Gateway_A,Subscription,FAILED,Network Error,NETWORK_ERROR,1,5,4,HIGH,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000044,CUST04587,2026-02-09 08:04:00,492.21,Net Banking,Gateway_B,Utilities,FAILED,Gateway Timeout,TIMEOUT,3,0,6,LOW,RETRY_PAYMENT,HIGH,EMAIL,PENDING
TXN0000045,CUST03373,2026-07-21 23:56:00,151.64,Credit Card,Gateway_A,Food,SUCCESS,,,0,6,16,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000046,CUST01823,2026-03-20 07:46:00,323.81,Credit Card,Gateway_A,Education,SUCCESS,,,0,3,11,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000047,CUST02283,2026-06-14 17:23:00,419.62,UPI,Gateway_A,Education,SUCCESS,,,0,0,4,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000048,CUST07185,2026-03-09 01:18:00,1914.33,Debit Card,Razorpay,Healthcare,SUCCESS,,,1,2,24,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000049,CUST06443,2026-05-11 03:56:00,937.88,Debit Card,Gateway_A,Healthcare,SUCCESS,,,0,2,2,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000050,CUST05807,2026-08-25 18:22:00,114.09,Net Banking,Razorpay,Healthcare,SUCCESS,,,0,2,14,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000051,CUST00574,2026-06-19 04:15:00,919.73,Debit Card,Gateway_B,Education,SUCCESS,,,0,4,10,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000052,CUST05464,2026-06-28 10:05:00,452.56,Net Banking,Gateway_A,Travel,SUCCESS,,,0,3,22,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000053,CUST07704,2026-08-20 05:56:00,338.01,Net Banking,Gateway_B,Utilities,SUCCESS,,,0,3,18,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000054,CUST06830,2026-02-23 14:40:00,1226.2,UPI,Gateway_A,Education,FAILED,Payment Gateway Error,GATEWAY_ERROR,3,3,15,MEDIUM,SWITCH_GATEWAY,HIGH,SMS,RECOVERED
TXN0000055,CUST06503,2026-03-14 17:35:00,1864.97,Credit Card,Gateway_B,Ecommerce,SUCCESS,,,0,0,27,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000056,CUST07799,2026-02-27 06:47:00,1687.97,Credit Card,Gateway_B,Education,SUCCESS,,,0,1,16,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000057,CUST05008,2026-08-15 21:29:00,287.37,UPI,Gateway_A,Travel,SUCCESS,,,1,3,13,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000058,CUST01999,2026-01-02 03:38:00,488.23,Credit Card,Gateway_B,Utilities,FAILED,Network Error,NETWORK_ERROR,1,6,23,HIGH,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000059,CUST00412,2026-02-01 15:34:00,926.36,Wallet,Razorpay,Subscription,SUCCESS,,,1,5,17,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000060,CUST04579,2026-08-17 15:06:00,1764.36,Wallet,Gateway_A,Subscription,SUCCESS,,,1,6,30,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000061,CUST04489,2026-08-09 16:12:00,411.92,Net Banking,Razorpay,Utilities,SUCCESS,,,0,6,21,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000062,CUST02272,2026-03-03 09:22:00,552.44,Wallet,Gateway_A,Utilities,SUCCESS,,,0,1,9,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000063,CUST02752,2026-02-05 05:08:00,220.01,Debit Card,Gateway_B,Ecommerce,SUCCESS,,,0,5,7,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000064,CUST00527,2026-05-19 15:54:00,201.1,Net Banking,Gateway_A,Education,SUCCESS,,,0,6,14,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000065,CUST03191,2026-08-08 19:39:00,1498.96,Wallet,Gateway_B,Ecommerce,SUCCESS,,,0,2,10,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000066,CUST06173,2026-07-11 18:38:00,2581.79,Net Banking,Gateway_A,Healthcare,FAILED,Network Error,NETWORK_ERROR,3,1,9,LOW,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000067,CUST03186,2026-07-24 13:48:00,618.93,Debit Card,Gateway_B,Utilities,FAILED,Technical Error,TECH_ERROR,1,4,18,MEDIUM,RETRY_LATER,MEDIUM,IN_APP,PENDING
TXN0000068,CUST04849,2026-01-22 21:56:00,1814.44,Wallet,Gateway_B,Ecommerce,SUCCESS,,,1,1,2,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000069,CUST02132,2026-04-27 11:09:00,954.93,Net Banking,Gateway_A,Food,SUCCESS,,,1,2,25,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000070,CUST07793,2026-01-21 16:03:00,348.93,Net Banking,Gateway_A,Subscription,SUCCESS,,,0,2,8,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000071,CUST05326,2026-07-13 01:03:00,954.7,UPI,Gateway_B,Ecommerce,PENDING,,,0,6,1,HIGH,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000072,CUST01955,2026-01-30 19:15:00,3096.53,Credit Card,Gateway_A,Utilities,PENDING,,,1,5,9,HIGH,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000073,CUST01375,2026-07-03 03:54:00,641.73,Wallet,Gateway_B,Utilities,FAILED,Gateway Timeout,TIMEOUT,2,0,19,LOW,RETRY_PAYMENT,HIGH,IN_APP,PENDING
TXN0000074,CUST04717,2026-02-20 02:35:00,3180.02,Net Banking,Gateway_A,Utilities,SUCCESS,,,0,0,23,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000075,CUST06329,2026-07-26 04:07:00,50.0,Debit Card,Gateway_B,Healthcare,FAILED,Insufficient Funds,INSUFFICIENT_FUNDS,2,4,14,MEDIUM,USE_ALTERNATIVE_PAYMENT_METHOD,HIGH,EMAIL,RECOVERED
TXN0000076,CUST05305,2026-04-18 16:43:00,1513.08,Debit Card,Razorpay,Subscription,SUCCESS,,,0,5,29,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000077,CUST06789,2026-04-22 06:00:00,725.63,Net Banking,Gateway_B,Food,FAILED,OTP Failure,OTP_FAILED,3,3,14,MEDIUM,RETRY_PAYMENT,MEDIUM,EMAIL,RECOVERED
TXN0000078,CUST02012,2026-03-04 15:51:00,493.24,UPI,Gateway_A,Travel,SUCCESS,,,1,2,1,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000079,CUST04050,2026-02-24 12:06:00,729.06,Debit Card,Razorpay,Travel,FAILED,Payment Gateway Error,GATEWAY_ERROR,2,4,23,MEDIUM,SWITCH_GATEWAY,HIGH,EMAIL,PENDING
TXN0000080,CUST04233,2026-07-04 13:52:00,91.14,Credit Card,Razorpay,Food,SUCCESS,,,0,5,16,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000081,CUST05292,2026-01-05 03:10:00,533.96,Net Banking,Gateway_A,Subscription,SUCCESS,,,1,5,8,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000082,CUST02509,2026-05-22 18:07:00,950.62,Wallet,Gateway_A,Travel,SUCCESS,,,0,2,23,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000083,CUST03718,2026-03-01 04:07:00,2915.78,Debit Card,Gateway_A,Education,FAILED,Payment Gateway Error,GATEWAY_ERROR,0,5,18,HIGH,SWITCH_GATEWAY,HIGH,VOICE_ASSISTANT,PENDING
TXN0000084,CUST05654,2026-07-09 16:31:00,396.12,Credit Card,Razorpay,Food,SUCCESS,,,0,0,27,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000085,CUST01591,2026-02-15 10:19:00,296.34,Debit Card,Razorpay,Education,SUCCESS,,,0,2,2,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000086,CUST07982,2026-06-28 04:18:00,402.72,UPI,Gateway_B,Education,SUCCESS,,,1,0,28,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000087,CUST00101,2026-05-03 15:02:00,1661.38,Wallet,Gateway_A,Travel,SUCCESS,,,0,2,28,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000088,CUST03914,2026-05-06 02:31:00,924.04,UPI,Razorpay,Travel,SUCCESS,,,0,1,5,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000089,CUST06645,2026-03-05 04:02:00,391.6,Wallet,Gateway_A,Ecommerce,SUCCESS,,,1,4,20,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000090,CUST06478,2026-05-14 12:59:00,1111.28,Wallet,Razorpay,Subscription,SUCCESS,,,1,2,28,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000091,CUST04822,2026-06-08 02:03:00,732.95,Net Banking,Gateway_A,Healthcare,SUCCESS,,,0,6,7,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000092,CUST05125,2026-01-21 05:21:00,1752.23,Credit Card,Gateway_A,Utilities,SUCCESS,,,0,1,1,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000093,CUST03347,2026-05-01 09:56:00,329.62,Net Banking,Gateway_B,Healthcare,SUCCESS,,,0,5,10,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000094,CUST05759,2026-03-01 09:01:00,479.31,Net Banking,Razorpay,Utilities,FAILED,Network Error,NETWORK_ERROR,3,0,18,LOW,RETRY_PAYMENT,MEDIUM,SMS,PENDING
TXN0000095,CUST07442,2026-01-16 05:39:00,449.39,Debit Card,Razorpay,Ecommerce,FAILED,OTP Failure,OTP_FAILED,3,0,15,LOW,RETRY_PAYMENT,MEDIUM,EMAIL,PENDING
TXN0000096,CUST07723,2026-05-07 14:56:00,153.93,Debit Card,Gateway_B,Healthcare,SUCCESS,,,0,3,24,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000097,CUST02641,2026-01-24 07:48:00,894.37,Wallet,Gateway_A,Ecommerce,PENDING,,,2,4,1,MEDIUM,MONITOR,LOW,EMAIL,PENDING
TXN0000098,CUST06252,2026-06-16 15:05:00,863.55,Credit Card,Gateway_A,Healthcare,FAILED,Gateway Timeout,TIMEOUT,3,5,27,HIGH,RETRY_PAYMENT,HIGH,VOICE_ASSISTANT,RECOVERED
TXN0000099,CUST00748,2026-03-27 10:57:00,668.55,Net Banking,Gateway_A,Travel,SUCCESS,,,0,2,14,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000100,CUST05683,2026-04-13 18:46:00,526.06,Net Banking,Gateway_A,Utilities,SUCCESS,,,0,2,9,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000101,CUST02649,2026-05-12 00:02:00,161.52,UPI,Gateway_A,Subscription,SUCCESS,,,1,3,2,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000102,CUST01537,2026-07-13 17:00:00,436.75,Wallet,Gateway_A,Healthcare,SUCCESS,,,0,1,9,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000103,CUST04500,2026-08-14 23:50:00,472.14,Credit Card,Gateway_A,Travel,SUCCESS,,,0,5,20,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000104,CUST06548,2026-03-21 18:48:00,298.19,Credit Card,Gateway_B,Food,SUCCESS,,,1,0,8,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000105,CUST06893,2026-06-15 05:15:00,566.07,UPI,Gateway_A,Ecommerce,SUCCESS,,,0,4,23,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000106,CUST02240,2026-03-04 15:35:00,996.3,Net Banking,Gateway_A,Travel,SUCCESS,,,1,1,30,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000107,CUST04911,2026-08-10 02:22:00,4386.06,Wallet,Gateway_B,Food,SUCCESS,,,1,2,30,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000108,CUST06453,2026-01-01 09:39:00,792.01,Wallet,Gateway_A,Subscription,FAILED,Technical Error,TECH_ERROR,1,3,18,MEDIUM,RETRY_LATER,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000109,CUST04522,2026-08-27 10:59:00,860.53,Wallet,Gateway_A,Travel,FAILED,Network Error,NETWORK_ERROR,3,1,28,LOW,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,RECOVERED
TXN0000110,CUST06101,2026-04-08 13:10:00,617.42,Net Banking,Gateway_B,Subscription,PENDING,,,2,1,16,LOW,MONITOR,LOW,IN_APP,RECOVERED
TXN0000111,CUST07909,2026-01-26 15:01:00,97.63,Wallet,Gateway_A,Subscription,SUCCESS,,,1,0,24,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000112,CUST01181,2026-01-20 16:01:00,647.74,Net Banking,Gateway_B,Food,FAILED,OTP Failure,OTP_FAILED,2,4,23,MEDIUM,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,PENDING
TXN0000113,CUST06978,2026-05-17 12:58:00,706.43,Debit Card,Gateway_B,Subscription,PENDING,,,2,5,29,HIGH,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000114,CUST07147,2026-01-18 08:00:00,7810.64,Wallet,Razorpay,Healthcare,SUCCESS,,,0,1,24,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000115,CUST00741,2026-06-12 03:25:00,548.75,Net Banking,Razorpay,Subscription,SUCCESS,,,0,0,2,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000116,CUST02658,2026-04-06 14:42:00,899.24,UPI,Gateway_A,Education,SUCCESS,,,1,4,22,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000117,CUST06493,2026-01-21 20:48:00,642.45,Credit Card,Razorpay,Food,FAILED,Network Error,NETWORK_ERROR,3,4,5,MEDIUM,RETRY_PAYMENT,MEDIUM,SMS,RECOVERED
TXN0000118,CUST02081,2026-01-03 15:52:00,206.71,Net Banking,Gateway_A,Utilities,FAILED,Gateway Timeout,TIMEOUT,0,3,12,MEDIUM,RETRY_PAYMENT,HIGH,EMAIL,PENDING
TXN0000119,CUST03476,2026-03-19 06:47:00,2085.62,Debit Card,Gateway_A,Subscription,PENDING,,,1,0,8,LOW,MONITOR,LOW,VOICE_ASSISTANT,PENDING
TXN0000120,CUST04709,2026-01-06 22:28:00,1410.83,Debit Card,Gateway_B,Education,SUCCESS,,,0,4,28,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000121,CUST05619,2026-05-08 09:46:00,1467.08,UPI,Gateway_B,Utilities,FAILED,Network Error,NETWORK_ERROR,2,1,21,LOW,RETRY_PAYMENT,MEDIUM,SMS,PENDING
TXN0000122,CUST05553,2026-08-20 21:25:00,267.9,Credit Card,Gateway_B,Ecommerce,SUCCESS,,,0,6,15,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000123,CUST00274,2026-02-03 03:04:00,2704.83,Wallet,Gateway_A,Utilities,FAILED,Payment Gateway Error,GATEWAY_ERROR,3,1,7,LOW,SWITCH_GATEWAY,HIGH,SMS,PENDING
TXN0000124,CUST07180,2026-08-22 09:18:00,163.72,Debit Card,Gateway_B,Healthcare,FAILED,OTP Failure,OTP_FAILED,3,6,10,HIGH,RETRY_PAYMENT,MEDIUM,VOICE_ASSISTANT,PENDING
TXN0000125,CUST02775,2026-02-06 07:42:00,1196.14,UPI,Gateway_A,Ecommerce,FAILED,Daily Limit Exceeded,LIMIT_EXCEEDED,2,0,26,LOW,USE_ALTERNATIVE_PAYMENT_METHOD,HIGH,VOICE_ASSISTANT,RECOVERED
TXN0000126,CUST04396,2026-06-22 22:56:00,5945.89,UPI,Gateway_A,Education,SUCCESS,,,1,6,21,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000127,CUST07703,2026-03-01 16:05:00,247.02,Debit Card,Razorpay,Utilities,SUCCESS,,,0,4,8,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000128,CUST05306,2026-04-29 23:55:00,377.55,UPI,Gateway_B,Subscription,SUCCESS,,,1,0,5,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000129,CUST00372,2026-01-30 03:19:00,734.84,UPI,Gateway_A,Travel,SUCCESS,,,0,3,15,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000130,CUST03040,2026-07-10 05:16:00,402.03,Wallet,Gateway_A,Healthcare,FAILED,Bank Declined,BANK_DECLINED,3,4,14,MEDIUM,RETRY_LATER,HIGH,EMAIL,RECOVERED
TXN0000131,CUST03036,2026-03-02 12:22:00,141.08,Credit Card,Gateway_A,Travel,SUCCESS,,,0,4,29,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000132,CUST05283,2026-03-12 06:28:00,712.35,Debit Card,Razorpay,Travel,PENDING,,,1,0,22,LOW,MONITOR,LOW,SMS,PENDING
TXN0000133,CUST04892,2026-03-27 08:18:00,229.91,UPI,Razorpay,Subscription,PENDING,,,2,1,3,LOW,MONITOR,LOW,SMS,PENDING
TXN0000134,CUST06661,2026-02-07 20:20:00,1068.05,Credit Card,Gateway_A,Subscription,SUCCESS,,,0,1,18,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000135,CUST02054,2026-08-10 00:52:00,265.22,Credit Card,Razorpay,Utilities,SUCCESS,,,0,6,26,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000136,CUST01950,2026-02-14 09:03:00,3133.59,Wallet,Gateway_A,Ecommerce,SUCCESS,,,1,4,4,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000137,CUST06109,2026-07-19 12:21:00,303.91,UPI,Gateway_A,Travel,SUCCESS,,,0,3,17,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000138,CUST01815,2026-07-20 22:29:00,482.0,Wallet,Razorpay,Utilities,SUCCESS,,,1,5,1,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000139,CUST00499,2026-06-25 03:41:00,1500.45,Net Banking,Gateway_A,Travel,SUCCESS,,,1,0,29,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000140,CUST00662,2026-01-17 04:18:00,194.25,Debit Card,Gateway_B,Food,SUCCESS,,,0,3,20,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
